date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:06:08	152687/152687	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Feb%202026%2010:10:52%20GMT	https://www.sasken.com/	C:/My_Web_Sites/sasken_httrack/Sasken_small/www.sasken.com/index.html	(from )
19:06:09	151/151	---MCZ	200	added ('OK')	text/plain	etag:W/%22e8e85675dbc6f6ae78cda36bcb650d5a%22	https://www.sasken.com/robots.txt		(from )
19:06:09	4074/4074	---M--	200	added ('OK')	image/png	etag:%2213f6149b70d0787065499c3561909624%22	https://www.sasken.com/hubfs/fav-icon_0.png	C:/My_Web_Sites/sasken_httrack/Sasken_small/www.sasken.com/hubfs/fav-icon_0.png	(from https://www.sasken.com/)
19:06:09	12845/12845	---MCZ	200	added ('OK')	text/css	etag:W/%222f29ac40397f91fc6a9083955ecb992f%22	https://www.sasken.com/hubfs/hub_generated/template_assets/1/117882741121/1743227830766/template_sasken-home-bootstrap.min.css	C:/My_Web_Sites/sasken_httrack/Sasken_small/www.sasken.com/hubfs/hub_generated/template_assets/1/117882741121/1743227830766/template_sasken-home-bootstrap.min.css	(from https://www.sasken.com/)
19:06:09	26439/26439	---MCZ	200	added ('OK')	text/css	etag:W/%220911341608ff75b7847126f93beb9584%22	https://www.sasken.com/hubfs/hub_generated/template_assets/1/19868754007/1743227813637/template_common-style.min.css	C:/My_Web_Sites/sasken_httrack/Sasken_small/www.sasken.com/hubfs/hub_generated/template_assets/1/19868754007/1743227813637/template_common-style.min.css	(from https://www.sasken.com/)
19:06:10	2257/2257	---MCZ	200	added ('OK')	text/css	etag:W/%2293575b9e552e93af0f2d0bca7a0621fb%22	https://www.sasken.com/hubfs/hub_generated/template_assets/1/66919354150/1743227821468/template_slick-theme.min.css	C:/My_Web_Sites/sasken_httrack/Sasken_small/www.sasken.com/hubfs/hub_generated/template_assets/1/66919354150/1743227821468/template_slick-theme.min.css	(from https://www.sasken.com/)
19:06:10	1299/1299	---MCZ	200	added ('OK')	text/css	etag:W/%2250424795a4c8f41eaba805785dcd11a3%22	https://www.sasken.com/hubfs/hub_generated/template_assets/1/66917759488/1743227820351/template_slick.min.css	C:/My_Web_Sites/sasken_httrack/Sasken_small/www.sasken.com/hubfs/hub_generated/template_assets/1/66917759488/1743227820351/template_slick.min.css	(from https://www.sasken.com/)
19:06:10	22519/22519	---MCZ	200	added ('OK')	text/css	etag:W/%22d57df3dcf8d8826f696eb3156df8c3ec%22	https://www.sasken.com/hubfs/hub_generated/module_assets/1/195107540854/1768204005997/module_MarTech_Header_2025.css	C:/My_Web_Sites/sasken_httrack/Sasken_small/www.sasken.com/hubfs/hub_generated/module_assets/1/195107540854/1768204005997/module_MarTech_Header_2025.css	(from https://www.sasken.com/)
19:06:10	4465/4465	---MCZ	200	added ('OK')	text/css	etag:W/%22c612761e1f147a04d67b349b3cd9f6ba%22	https://www.sasken.com/hubfs/hub_generated/module_assets/1/192019676172/1754458043905/module_Advanced_Hero_Slider_Dynamic_-_2025.min.css	C:/My_Web_Sites/sasken_httrack/Sasken_small/www.sasken.com/hubfs/hub_generated/module_assets/1/192019676172/1754458043905/module_Advanced_Hero_Slider_Dynamic_-_2025.min.css	(from https://www.sasken.com/)
19:06:10	1859/1859	---MCZ	200	added ('OK')	text/css	etag:W/%22aab71f187df5c7c3cbdb7e8822c4b7b0%22	https://www.sasken.com/hubfs/hub_generated/template_assets/1/117837507159/1743227829173/template_Sasken_Focus_Numbers.min.css	C:/My_Web_Sites/sasken_httrack/Sasken_small/www.sasken.com/hubfs/hub_generated/template_assets/1/117837507159/1743227829173/template_Sasken_Focus_Numbers.min.css	(from https://www.sasken.com/)
19:06:10	6183/6183	---MCZ	200	added ('OK')	text/css	etag:W/%22c0a467207676ac40dc39d125f92ac5d5%22	https://www.sasken.com/hubfs/hub_generated/module_assets/1/195106966817/1756191556037/module_MarTech_Footer_Global_2025.min.css	C:/My_Web_Sites/sasken_httrack/Sasken_small/www.sasken.com/hubfs/hub_generated/module_assets/1/195106966817/1756191556037/module_MarTech_Footer_Global_2025.min.css	(from https://www.sasken.com/)
19:06:12	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Feb%202026%2013:36:11%20GMT	http://7052064.fs1.hubspotusercontent-na1.net/hubfs/7052064/hub_generated/template_assets/DEFAULT_ASSET/1771018353273/template_layout.min.css	C:/My_Web_Sites/sasken_httrack/Sasken_small/7052064.fs1.hubspotusercontent-na1.net/hubfs/7052064/hub_generated/template_assets/DEFAULT_ASSET/1771018353273/template_layout.min.b.delayed	(from https://www.sasken.com/)
19:06:12	4562/4562	---MCZ	200	added ('OK')	text/css	etag:W/%22fda5882b24ca5a84d04d090722dc713b%22	https://7052064.fs1.hubspotusercontent-na1.net/hubfs/7052064/hub_generated/template_assets/DEFAULT_ASSET/1771018353273/template_layout.min.css	C:/My_Web_Sites/sasken_httrack/Sasken_small/7052064.fs1.hubspotusercontent-na1.net/hubfs/7052064/hub_generated/template_assets/DEFAULT_ASSET/1771018353273/template_layout.min.css	(from https://www.sasken.com/)
19:06:14	6812/6812	---M--	200	added ('OK')	image/png	etag:%22dfaa706ff6de7308024860c36589847d%22	https://www.sasken.com/hubfs/Sasken-Logo_Theme.png	C:/My_Web_Sites/sasken_httrack/Sasken_small/www.sasken.com/hubfs/Sasken-Logo_Theme.png	(from https://www.sasken.com/)
19:06:15	42863/42863	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d5a61c749e44e47159af8a6579dda121%22	https://www.sasken.com/hubfs/Sasken%20Feb-2022/Slider%20Files/slick.min.js	C:/My_Web_Sites/sasken_httrack/Sasken_small/www.sasken.com/hubfs/Sasken%20Feb-2022/Slider%20Files/slick.min.js	(from https://www.sasken.com/)
19:06:15	52310/52310	---MC-	200	added ('OK')	text/javascript	date:Tue,%2015%20Jul%202025%2000:44:26%20GMT	http://www.google-analytics.com/analytics.js	C:/My_Web_Sites/sasken_httrack/Sasken_small/www.google-analytics.com/analytics.js	(from https://www.sasken.com/)
19:06:15	285314/285314	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-45a82%22	https://code.jquery.com/jquery-3.7.1.js	C:/My_Web_Sites/sasken_httrack/Sasken_small/code.jquery.com/jquery-3.7.1.js	(from https://www.sasken.com/)
19:06:15	105722/105722	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Feb%202026%2004:33:10%20GMT	https://www.sasken.com/industry-listing	C:/My_Web_Sites/sasken_httrack/Sasken_small/www.sasken.com/industry-listing.html	(from https://www.sasken.com/)
19:06:15	115504/115504	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Feb%202026%2004:24:19%20GMT	https://www.sasken.com/industries/automotive	C:/My_Web_Sites/sasken_httrack/Sasken_small/www.sasken.com/industries/automotive.html	(from https://www.sasken.com/)
19:06:15	128946/128946	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Feb%202026%2004:24:24%20GMT	https://www.sasken.com/industries/automotive/adas-autonomous	C:/My_Web_Sites/sasken_httrack/Sasken_small/www.sasken.com/industries/automotive/adas-autonomous.html	(from https://www.sasken.com/)
